fish_number,acclimation_temperature,acclimation_salinity,assay_temperature,rmr,mmr,aerobic_scope
4,10,28,24,0.104771991,0.206458668,0.101686677
4,10,28,10,0.013799787,0.138686296,0.124886508
5,10,28,24,0.12209368,0.285929374,0.163835695
5,10,28,10,0.020455414,0.15538151,0.134926097
6,10,11,24,0.112294209,0.172940205,0.060645996
6,10,11,10,0.019048104,0.151994635,0.132946532
7,10,11,24,0.1143585,0.188271553,0.073913053
7,10,11,10,0.015397927,0.106876961,0.091479034
9,10,28,24,0.101736878,0.298399567,0.196662689
9,10,28,10,0.007405458,0.113236172,0.105830714
10,10,28,24,0.125310833,0.273047627,0.147736794
10,10,28,10,0.020417261,0.124710231,0.104292971
11,10,11,24,0.13319677,0.389490432,0.256293663
11,10,11,10,0.009439156,0.242480836,0.23304168
12,10,11,24,0.1041646,0.289612143,0.185447543
12,10,11,10,0.014687244,0.13901841,0.124331166
13,24,28,24,0.098024347,0.264465569,0.166441222
13,24,28,10,0.007666913,0.081845256,0.074178343
14,24,11,24,0.096157524,0.214857516,0.118699992
14,24,11,10,0.009649575,0.09206158,0.082412004
15,24,11,24,0.078695366,0.211439504,0.132744138
15,24,11,10,0.009276226,0.097117212,0.087840986
16,10,28,24,0.190102778,0.26342515,0.073322372
16,10,28,10,0.005929121,0.097668677,0.091739556
17,10,28,24,0.142680111,0.177173725,0.034493614
17,10,28,10,0.005412584,0.090680736,0.085268152
18,10,11,24,0.117603374,0.2138335,0.096230126
18,10,11,10,0.005705917,0.11740559,0.111699673
19,24,28,24,0.096940762,0.207617392,0.110676629
19,24,28,10,0.001013429,0.073420628,0.072407199
20,24,28,24,0.076524944,0.193610971,0.117086027
20,24,28,10,0.001678649,0.069148831,0.067470182
21,24,11,24,0.047159413,0.226718838,0.179559425
21,24,11,10,0.005820167,0.076374306,0.070554138
22,24,11,24,0.098535032,0.121614872,0.023079839
22,24,11,10,0.00311498,0.024265328,0.021150349
23,10,28,24,0.088872302,0.308071382,0.219199079
23,10,28,10,0.011534141,0.11135667,0.099822529
24,10,11,24,0.106908019,0.166347035,0.059439017
24,10,11,10,0.007152483,0.115179858,0.108027376
25,10,11,24,0.072439332,0.27877854,0.206339207
25,10,11,10,0.010013056,0.111919998,0.101906942
26,24,28,24,0.139127994,0.283383738,0.144255745
26,24,28,10,0.010370014,0.149096372,0.138726358
27,24,28,24,0.158702243,0.2448746,0.086172357
27,24,28,10,0.002758963,0.052087316,0.049328353
28,24,11,24,0.073256445,0.235691027,0.162434583
28,24,11,10,0.005310573,0.079745442,0.074434869
29,24,11,24,0.082695593,0.229550034,0.14685444
29,24,11,10,0.004908698,0.183910442,0.179001744
30,10,28,24,0.09757578,0.223069095,0.125493315
30,10,28,10,0.028833538,0.14650482,0.117671282
31,10,11,24,0.074362337,0.185507754,0.111145416
31,10,11,10,0.010295456,0.110850138,0.100554682
32,10,11,24,0.053598122,0.219710337,0.166112215
32,10,11,10,0.013482226,0.097957521,0.084475296
33,24,28,24,0.092434705,0.212597138,0.120162434
33,24,28,10,0.014330245,0.11016761,0.095837364
34,24,28,24,0.083814684,0.255091813,0.171277129
34,24,28,10,0.006278815,0.088173549,0.081894734
35,24,11,24,0.061095401,0.210126368,0.149030967
35,24,11,10,0.005249477,0.059475876,0.054226399
36,24,11,24,0.057787473,0.203802135,0.146014662
36,24,11,10,0.011219489,0.080509569,0.069290079
